8/11/2020
10:52:38 AM

0, CH+=0, CH-=199, Range=0-5, y=(a-1.625)/.32
1, CH+=1, CH-=199, Range=0-5, y=(b-1.63)/.33


Time	v0	v1	y0	y1
0.000000	1.591284	1.556061	-0.105362	-0.224057
0.002000	1.788768	1.783739	0.511774	0.465875
0.004000	1.768513	1.839393	0.448478	0.634526
0.006000	1.641921	1.687608	0.052878	0.174570
0.008000	1.500138	1.520645	-0.390194	-0.331380
0.010000	1.490011	1.459930	-0.421842	-0.515362
0.012000	1.692558	1.662311	0.211118	0.097911
0.014000	1.798895	1.844453	0.543422	0.649857
0.016000	1.758386	1.814096	0.416830	0.557866
0.018000	1.576093	1.611716	-0.152834	-0.055407
0.020000	1.495074	1.495347	-0.406018	-0.408039
0.022000	1.540647	1.495347	-0.263602	-0.408039
0.024000	1.763449	1.753382	0.432654	0.373884
0.026000	1.773577	1.819155	0.464302	0.573198
0.028000	1.692558	1.748322	0.211118	0.358552
0.030000	1.520393	1.551002	-0.326898	-0.239389
0.032000	1.490011	1.464990	-0.421842	-0.500030
0.034000	1.646985	1.626894	0.068702	-0.009412
0.036000	1.793831	1.814096	0.527598	0.557866
0.038000	1.768513	1.824215	0.448478	0.588530
0.040000	1.606475	1.652192	-0.057890	0.067248
0.042000	1.490011	1.495347	-0.421842	-0.408039
0.044000	1.505202	1.459930	-0.374370	-0.515362
0.046000	1.743195	1.733144	0.369358	0.312557
0.048000	1.783704	1.819155	0.495950	0.573198
0.050000	1.743195	1.798917	0.369358	0.511871
0.052000	1.540647	1.586418	-0.263602	-0.132066
0.054000	1.490011	1.459930	-0.421842	-0.515362
0.056000	1.611539	1.581359	-0.042066	-0.147398
0.058000	1.778640	1.778679	0.480126	0.450544
0.060000	1.763449	1.814096	0.432654	0.557866
0.062000	1.641921	1.712906	0.052878	0.251230
0.064000	1.484947	1.510525	-0.437666	-0.362044
0.066000	1.505202	1.444752	-0.374370	-0.561358
0.068000	1.692558	1.692668	0.211118	0.189902
0.070000	1.783704	1.809036	0.495950	0.542535
0.072000	1.768513	1.829274	0.448478	0.603862
0.074000	1.560902	1.621835	-0.200306	-0.024743
0.076000	1.490011	1.470049	-0.421842	-0.484699
0.078000	1.560902	1.530764	-0.200306	-0.300717
0.080000	1.758386	1.743263	0.416830	0.343221
0.082000	1.778640	1.814096	0.480126	0.557866
0.084000	1.687494	1.758441	0.195294	0.389216
0.086000	1.500138	1.530764	-0.390194	-0.300717
0.088000	1.515329	1.459930	-0.342722	-0.515362
0.090000	1.636857	1.637013	0.037054	0.021252
0.092000	1.783704	1.793858	0.495950	0.496539
0.094000	1.778640	1.839393	0.480126	0.634526
0.096000	1.581157	1.662311	-0.137010	0.097911
0.098000	1.505202	1.480168	-0.374370	-0.454035
0.100000	1.515329	1.490287	-0.342722	-0.423371
0.102000	1.728004	1.717965	0.321886	0.266561
0.104000	1.788768	1.809036	0.511774	0.542535
0.106000	1.743195	1.819155	0.369358	0.573198
0.108000	1.535584	1.551002	-0.279426	-0.239389
0.110000	1.520393	1.480168	-0.326898	-0.454035
0.112000	1.586221	1.576299	-0.121186	-0.162730
0.114000	1.783704	1.763501	0.495950	0.404548
0.116000	1.768513	1.839393	0.448478	0.634526
0.118000	1.621666	1.702787	-0.010418	0.220566
0.120000	1.515329	1.495347	-0.342722	-0.408039
0.122000	1.500138	1.480168	-0.390194	-0.454035
0.124000	1.677367	1.667370	0.163646	0.113243
0.126000	1.798895	1.814096	0.543422	0.557866
0.128000	1.763449	1.849512	0.432654	0.665189
0.130000	1.571030	1.586418	-0.168658	-0.132066
0.132000	1.505202	1.490287	-0.374370	-0.423371
0.134000	1.540647	1.520645	-0.263602	-0.331380
0.136000	1.763449	1.733144	0.432654	0.312557
0.138000	1.773577	1.839393	0.464302	0.634526
0.140000	1.672303	1.743263	0.147822	0.343221
0.142000	1.525456	1.525704	-0.311074	-0.316048
0.144000	1.510265	1.485228	-0.358546	-0.438703
0.146000	1.641921	1.616775	0.052878	-0.040075
0.148000	1.788768	1.803977	0.511774	0.527203
0.150000	1.763449	1.864691	0.432654	0.711185
0.152000	1.606475	1.637013	-0.057890	0.021252
0.154000	1.500138	1.500406	-0.390194	-0.392708
0.156000	1.495074	1.475109	-0.406018	-0.469367
0.158000	1.733067	1.697727	0.337710	0.205234
0.160000	1.793831	1.839393	0.527598	0.634526
0.162000	1.748258	1.783739	0.385182	0.465875
0.164000	1.540647	1.571240	-0.263602	-0.178062
0.166000	1.500138	1.495347	-0.390194	-0.408039
0.168000	1.586221	1.556061	-0.121186	-0.224057
0.170000	1.783704	1.778679	0.495950	0.450544
0.172000	1.768513	1.839393	0.448478	0.634526
0.174000	1.636857	1.677489	0.037054	0.143907
0.176000	1.500138	1.520645	-0.390194	-0.331380
0.178000	1.490011	1.464990	-0.421842	-0.500030
0.180000	1.687494	1.652192	0.195294	0.067248
0.182000	1.793831	1.839393	0.527598	0.634526
0.184000	1.758386	1.814096	0.416830	0.557866
0.186000	1.571030	1.611716	-0.168658	-0.055407
0.188000	1.500138	1.495347	-0.390194	-0.408039
0.190000	1.535584	1.495347	-0.279426	-0.408039
0.192000	1.763449	1.753382	0.432654	0.373884
0.194000	1.778640	1.824215	0.480126	0.588530
0.196000	1.697622	1.748322	0.226942	0.358552
0.198000	1.520393	1.551002	-0.326898	-0.239389
0.200000	1.495074	1.470049	-0.406018	-0.484699
0.202000	1.646985	1.616775	0.068702	-0.040075
0.204000	1.798895	1.819155	0.543422	0.573198
0.206000	1.763449	1.819155	0.432654	0.573198
0.208000	1.611539	1.657251	-0.042066	0.082579
0.210000	1.495074	1.505466	-0.406018	-0.377376
0.212000	1.505202	1.449811	-0.374370	-0.546026
0.214000	1.738131	1.733144	0.353534	0.312557
0.216000	1.783704	1.824215	0.495950	0.588530
0.218000	1.748258	1.798917	0.385182	0.511871
0.220000	1.545711	1.591478	-0.247778	-0.116735
0.222000	1.490011	1.464990	-0.421842	-0.500030
0.224000	1.606475	1.571240	-0.057890	-0.178062
0.226000	1.778640	1.778679	0.480126	0.450544
0.228000	1.768513	1.814096	0.448478	0.557866
0.230000	1.646985	1.728084	0.068702	0.297225
0.232000	1.484947	1.515585	-0.437666	-0.346712
0.234000	1.495074	1.439692	-0.406018	-0.576690
0.236000	1.677367	1.677489	0.163646	0.143907
